startup_name,startup_name_norm,industry_vertical,sub_vertical,city,city_norm,investor_name,investor_list,investor_count,investment_type,investment_stage_norm,amount_raw,amount_usd,amount_log1p,amount_bucket,is_undisclosed_amount,date_raw,date_parsed,year,month,year_month,remarks,founding_date,founding_date_parsed,founding_age_years,_is_probable_dup,amount_outlier_iqr,amount_outlier_logz
Parcelled,parcelled,Online Logistics Platform,,Bangalore,Bangalore,Delhivery; Tracxn Labs,"[""Delhivery"", ""Tracxn Labs""]",2,Seed Funding,seed,,,,Undisclosed,True,2015-07-01,2015-07-01,2015,7,2015-07,,,,,False,False,False
Retigence Technologies,retigence technologies,Business IT Intelligence Services,,Mumbai,Mumbai,Omnivore Partners,"[""Omnivore Partners""]",1,Private Equity,private equity,,,,Undisclosed,True,2015-07-01,2015-07-01,2015,7,2015-07,Series A,,,,False,False,False
Cloudcherry Analytics,cloudcherry analytics,CRM / Analytics platform,,Chennai,Chennai,The Chennai Angels; IDG Ventures India,"[""The Chennai Angels"", ""IDG Ventures India""]",2,Seed Funding,seed,"1,000,000",1000000.0,13.815511557963774,1M-10M,False,2015-07-01,2015-07-01,2015,7,2015-07,,,,,False,False,False
HandyHome,handyhome,Hyperlocal Electronics repair Service,,Mumbai,Mumbai,Bessemer Ventures; Kae Capital,"[""Bessemer Ventures"", ""Kae Capital""]",2,Seed Funding,seed,"630,000",630000.0,13.353476685668044,50k-1M,False,,2015-01-01,2015,1,2015-01,,,,,False,False,False
iDreamCareer,idreamcareer,Ed-Tech Platform,,New Delhi,New Delhi,ah! Ventures; Vivek Joshi; Mohit Satyanand & others,"[""ah! Ventures"", ""Vivek Joshi"", ""Mohit Satyanand"", ""others""]",4,Seed Funding,seed,,,,Undisclosed,True,2015-07-01,2015-07-01,2015,7,2015-07,,,,,False,False,False
Ola Cabs,ola cabs,Cab rental Mobile app,,Bangalore,Bangalore,Ratan Tata,"[""Ratan Tata""]",1,Private Equity,private equity,,,,Undisclosed,True,2015-07-01,2015-07-01,2015,7,2015-07,Personal Investment,,,,False,False,False
NxtGen,nxtgen,IT infrastructure & Data Center services,,Bangalore,Bangalore,IFC; Axon Partners; Intel Capital,"[""IFC"", ""Axon Partners"", ""Intel Capital""]",3,Private Equity,private equity,"13,500,000",13500000.0,16.41820031748273,10M-100M,False,2015-07-01,2015-07-01,2015,7,2015-07,Series A,,,,False,False,False
BankBazaar,bankbazaar,Online Financial Services,,Chennai,Chennai,Amazon; Fidelity Growth Partners; Mousse Partners,"[""Amazon"", ""Fidelity Growth Partners"", ""Mousse Partners""]",3,Private Equity,private equity,"60,000,000",60000000.0,17.909855136853043,10M-100M,False,2015-07-02,2015-07-02,2015,7,2015-07,Series C(More here),,,,False,True,False
Gozoomo,gozoomo,Used Car Marketplace,,Bangalore,Bangalore,SAIF Partners,"[""SAIF Partners""]",1,Private Equity,private equity,"5,000,000",5000000.0,15.424948670398354,1M-10M,False,2015-07-02,2015-07-02,2015,7,2015-07,Series A,,,,False,False,False
Zenatix,zenatix,Internet of Things platform,,Gurgaon,Gurgaon,Rajan Anandan; Kunal Bahl; Rohit Bansal; Rahul Khanna,"[""Rajan Anandan"", ""Kunal Bahl"", ""Rohit Bansal"", ""Rahul Khanna""]",4,Seed Funding,seed,"161,000",161000.0,11.989165855127435,50k-1M,False,2015-07-02,2015-07-02,2015,7,2015-07,,,,,False,False,False
